2025-11-11 20:01:37.385 | INFO | AdbDevice = AdbDevice(serial=127.0.0.1:16384)
2025-11-11 20:01:37.404 | INFO | Detected package: com.bilibili.priconne
2025-11-11 20:01:37.405 | INFO | PackageName = com.bilibili.priconne
2025-11-11 20:01:37.406 | INFO | Device initialized successfully
2025-11-11 20:01:37.407 | INFO | Early initializing MaaTouch
2025-11-11 20:01:37.408 | INFO | [bold]<<< MAATOUCH INIT >>>[/bold]
2025-11-11 20:01:37.409 | INFO | Disable stuck detection
2025-11-11 20:01:37.411 | INFO | [bold]<<< UI ENSURE PAGE_TRAIN >>>[/bold]
2025-11-11 20:01:37.412 | INFO | UI get current page
2025-11-11 20:01:37.413 | INFO | Update droidcast resolution
2025-11-11 20:01:37.430 | INFO | Device Orientation = 1 (HOME key on the right)
2025-11-11 20:01:37.451 | INFO | Device Orientation = 1 (HOME key on the right)
2025-11-11 20:01:37.453 | INFO | Droidcast resolution: (720, 1280)
2025-11-11 20:01:37.455 | INFO | Reuse forward: ForwardItem(serial='127.0.0.1:16384', local='tcp:20224', remote='tcp:53516')
2025-11-11 20:01:37.567 | DEBUG | Loaded template for button 'TEAM_BATTLE' from './assets/ui/TEAM_BATTLE.png'
2025-11-11 20:01:37.573 | DEBUG | Loaded template for button 'MAIN_CHECK' from './assets/ui/MAIN_CHECK.png'
2025-11-11 20:01:37.579 | DEBUG | Loaded template for button 'TEAM_BATTLE_CHECK' from './assets/ui/TEAM_BATTLE_CHECK.png'
2025-11-11 20:01:37.586 | DEBUG | Loaded template for button 'TRAIN_CHECK' from './assets/ui/TRAIN_CHECK.png'
2025-11-11 20:01:37.592 | DEBUG | Loaded template for button 'MENU_CHECK' from './assets/ui/MENU_CHECK.png'
2025-11-11 20:01:37.594 | DEBUG | Page page_unknown has no check_button
2025-11-11 20:01:37.595 | INFO | Unknown ui page
2025-11-11 20:01:37.601 | DEBUG | Loaded template for button 'GO_TO_MAIN' from './assets/ui/GO_TO_MAIN.png'
2025-11-11 20:01:37.604 | INFO | Click at (109, 702)
2025-11-11 20:01:38.117 | INFO | ^ 10 1280 720 255
2025-11-11 20:01:38.119 | INFO | $ 255
2025-11-11 20:01:38.121 | INFO | MaaTouch stream connected
2025-11-11 20:01:38.122 | INFO | max_contact: 10; max_x: 1280; max_y: 720; max_pressure: 255
2025-11-11 20:01:38.245 | DEBUG | Page page_unknown has no check_button
2025-11-11 20:01:38.246 | INFO | Unknown ui page
2025-11-11 20:01:38.342 | INFO | Current_package = com.bilibili.priconne
2025-11-11 20:01:38.352 | INFO | Device Orientation = 1 (HOME key on the right)
2025-11-11 20:01:38.435 | DEBUG | Page page_unknown has no check_button
2025-11-11 20:01:38.436 | INFO | Unknown ui page
2025-11-11 20:01:38.502 | DEBUG | Page page_unknown has no check_button
2025-11-11 20:01:38.503 | INFO | Unknown ui page
2025-11-11 20:01:38.566 | DEBUG | Page page_unknown has no check_button
2025-11-11 20:01:38.567 | INFO | Unknown ui page
2025-11-11 20:01:38.625 | DEBUG | Page page_unknown has no check_button
2025-11-11 20:01:38.626 | INFO | Unknown ui page
2025-11-11 20:01:38.691 | DEBUG | Page page_unknown has no check_button
2025-11-11 20:01:38.693 | INFO | Unknown ui page
2025-11-11 20:01:38.755 | DEBUG | Page page_unknown has no check_button
2025-11-11 20:01:38.757 | INFO | Unknown ui page
2025-11-11 20:01:38.821 | DEBUG | Page page_unknown has no check_button
2025-11-11 20:01:38.822 | INFO | Unknown ui page
2025-11-11 20:01:38.894 | DEBUG | Page page_unknown has no check_button
2025-11-11 20:01:38.895 | INFO | Unknown ui page
2025-11-11 20:01:38.958 | DEBUG | Page page_unknown has no check_button
